,Element,NID,E1,E2,E12,E_max,E_min
0,145,287.0,0.00031826009736052774,0.0,0.0,0.00031826009736052774,0.0
1,145,288.0,0.00031826009736052774,-2.725969749238185e-05,3.661921983511094e-07,0.0003182601943858578,-2.7259794517711867e-05
2,145,367.0,0.0003186053640763362,-2.725969749238185e-05,-2.533579235923088e-05,0.0003190687265452512,-2.7723059961296838e-05
3,145,366.0,0.0003186053640763362,0.0,-2.5701984557581967e-05,0.00031912287008430715,-5.175060079709115e-07
4,146,288.0,0.0003355808231373695,-2.725969749238185e-05,3.661921983511094e-07,0.00033558091553105514,-2.7259789886067488e-05
5,146,289.0,0.0003355808231373695,-5.32739942327296e-05,1.0389539270009478e-06,0.0003355815171131722,-5.327468820853231e-05
6,146,368.0,0.0003362151413640407,-5.32739942327296e-05,-2.3488812552152193e-05,0.0003365689532763989,-5.362780614508777e-05
7,146,367.0,0.0003362151413640407,-2.725969749238185e-05,-2.4161574280801977e-05,0.00033661622703114766,-2.76607831594888e-05
11,147,368.0,0.00035176340052018413,-5.32739942327296e-05,-2.0413035533146354e-05,0.0003520204309613739,-5.353102467391935e-05
10,147,369.0,0.00035176340052018413,-7.602611837253167e-05,-1.9599700253392516e-05,0.0003519877788946222,-7.625049674696977e-05
8,147,289.0,0.00035099654201758306,-5.32739942327296e-05,1.0389539270009478e-06,0.0003509972095306612,-5.327466174580772e-05
9,147,290.0,0.00035099654201758306,-7.602611837253167e-05,1.8522892067547852e-06,0.0003509985506692806,-7.602812702422923e-05
12,148,290.0,0.00036333923726167283,-7.602611837253167e-05,1.8522892067547852e-06,0.0003633411894866359,-7.602807059749477e-05
13,148,291.0,0.00036333923726167283,-9.421035200745206e-05,2.5556117763418304e-06,0.00036334280578231365,-9.421392052809288e-05
14,148,370.0,0.0003640023699966659,-9.421035200745206e-05,-1.4589523479531605e-05,0.0003641184734269695,-9.432645543775564e-05
15,148,369.0,0.0003640023699966659,-7.602611837253167e-05,-1.529284604911865e-05,0.00036413520262479874,-7.615895100066455e-05
16,149,291.0,0.00037212739448909556,-9.421035200745206e-05,2.5556117763418304e-06,0.00037213089576181306,-9.421385328016953e-05
17,149,292.0,0.00037212739448909556,-0.00010753791916397987,2.966557900527071e-06,0.0003721319812193501,-0.0001075425058942344
18,149,371.0,0.0003725148577373857,-0.00010753791916397987,-9.599426199000897e-06,0.00037256284192675705,-0.00010758590335335121
19,149,370.0,0.0003725148577373857,-9.421035200745206e-05,-1.0010372323186138e-05,0.00037256852745042263,-9.426402172048898e-05
23,150,371.0,0.00037765566749664993,-0.00010753791916397987,-5.513993787157126e-06,0.0003776713329684805,-0.00010755358463581039
22,150,372.0,0.00037765566749664993,-0.0001165324433214394,-5.4426253285719435e-06,0.0003776706523129779,-0.00011654742813776737
20,150,292.0,0.00037758837723300643,-0.00010753791916397987,2.966557900527071e-06,0.00037759291233220333,-0.00010754245426317671
21,150,293.0,0.00037758837723300643,-0.0001165324433214394,3.0379263591122536e-06,0.00037759304659167736,-0.0001165371126801103
24,151,293.0,0.0003803927664862406,-0.0001165324433214394,3.0379263591122536e-06,0.0003803974094939564,-0.0001165370863291552
25,151,294.0,0.0003803927664862406,-0.00012211088757630486,2.8374191604050615e-06,0.0003803967718717012,-0.00012211489296176542
26,151,373.0,0.00038020371683418356,-0.00012211088757630486,-2.4222570617123823e-06,0.00038020663696387564,-0.00012211380770599698
27,151,372.0,0.00038020371683418356,-0.0001165324433214394,-2.22174986300519e-06,0.0003802062011247199,-0.00011653492761197574
31,152,373.0,0.00038099634034259675,-0.00012211088757630486,-1.0419217796051386e-07,0.00038099634573707795,-0.00012211089297078603
28,152,294.0,0.00038133932201778664,-0.00012211088757630486,2.8374191604050615e-06,0.00038134331987269216,-0.0001221148854312104
